name,pincode,address,phone,email,url,country,state,city,star_count,category_name,sub_catergory,Descriptions,prices
SKYZ EVENTS,380015,"H-6 Sanskar Appartment, Shyamprashad Mukharji Overbridge, Shyamal, Ahmedabad, Gujarat 380015, India",+91 97240 78841,skyz_events@yahoo.com,http://www.skyzevents.com/,India,Gujarat,Ahmedabad,4.8,Caterers,"Indian (Biryani / Butter Chicken / Paneer Tikka / Naan / Dal Makhani / Samosa / Kofta), Thai (Massaman Curry / Pad Thai / Satay / Tom Yum Soup / Papaya Salad / Fried Rice / Green Curry), Mediterranean (Hummus / Baba Ganoush / Falafel / Pita Bread / Tabbouleh / Dolma / Spanakopita)","Specializes in Gujarati thali, Jain food options, live khakhra station, farsan counter, minimum 200 plates, signature dishes include undhiyu and khandvi.","1241, 7578, 9768"
SKYZ EVENTS,380015,"H-6 Sanskar Appartment, Shyamprashad Mukharji Overbridge, Shyamal, Ahmedabad, Gujarat 380015, India",+91 97240 78841,skyz_events@yahoo.com,http://www.skyzevents.com/,India,Gujarat,Ahmedabad,4.8,Dj,"Night Show (LED Light Show / EDM Mix / Dance Floor / Visual Effects / Live Mixing / Sound System / Smoke Machine), Classical (String Quartet / Traditional Instruments / Acoustic Set / Live Vocals / Folk Songs / Background Score / Classical Dance Accompaniment), Band (Live Band Performance / Guitar Solo / Drummer / Bass Guitar / Vocalist / Percussion Ensemble / Rock Covers)","JBL sound system, 4K LED walls, synchronized lighting, smoke machines, 10000+ song collection, specialized wedding DJs, Bollywood and international music.","8782, 6899, 4021"
Food-n-Food (one of best caterers in nagpur),440017,"1015 Buddha Nagar Behind Inox Jaswant Tuli Mall, near Kalgidhar Gurudwara, Nagpur, Maharashtra 440017, India",+91 89832 02110,contact@foodnfood.online,https://www.foodnfood.online/,India,Maharashtra,Nagpur,4.5,Caterers,"Mexican (Tacos / Quesadillas / Nachos / Burritos / Guacamole / Churros / Tamales), Chinese (Peking Duck / Noodles / Chow Mein / Kung Pao Chicken / Fried Rice / Sweet and Sour Pork / Dumplings), Thai (Massaman Curry / Green Curry / Pad Thai / Tom Yum Soup / Papaya Salad / Fried Rice / Satay)","Signature Vidarbha cuisine, saoji specialties, live tandoor, 8 types of starters, bulk order discounts, hygiene certified kitchen, traditional spice blends.","5506, 7083, 5953"
Bunchi's,201002,"Sector 11, Raj Nagar, Ghaziabad, Uttar Pradesh 201002, India",+91 85880 50215,filler@godaddy.com,http://www.bunchis.com/,India,Uttar Pradesh,Kanpur,4.5,Dj,"Classical (Orchestra / Traditional Dance Music / Instrumental Performance / Choir / Acoustic Instruments / Classical Piano / Live Violin), Band (Rock Music Set / Jazz Fusion / Guitarist / Drummer / Backup Singers / Stage Lighting / Interactive Crowd Performance), Night Show (DJ Mixing / Disco Ball Effects / Hip-Hop Dance Set / High BPM Tracks / Visual Projections / Club Lighting / Fog Machine)","Pioneer DJ equipment, LED dance floor, karaoke system, dhol players available, specialized in sangeet events, customized playlists.","1493, 5338, 3366"
FLAMBE Events & Hospitality,411015,"Shop No. 2, Om Sai Building, Dhanori - Tingre Nagar Rd, Sudam Nagar, Gokul Nagar, Munjaba Vasti, Dhanori, Pune, Maharashtra 411015, India",+91 73859 28948,info@flambeevents.com,https://flambeevents.com/,India,Maharashtra,Pune,4.6,Venue,"Resort (Private Villa Setup / Large Conference Room / Infinity Pool / Beach Wedding Space / Garden View / Outdoor Catering / Customizable Decor), Open Area (Open-Air Stage / Fairy Lights / Bonfire Setup / Farmhouse Decor / Dance Floor / Covered Pavilion / Lawn Games), Hall (Decorated Archway / Buffet Counter Space / Soundproof Hall / AV System / Stage Decor / Round Table Seating / Lighting System)","Modern banquet hall with LED walls, hydraulic stage, designer lighting, separate entrance for VIP guests, dedicated photo/video areas.","2102, 6574, 7136"
FLAMBE Events & Hospitality,226002,"Sector 2A, near Medanta, Golf City, Bagiamau, Lucknow, Uttar Pradesh 226002, India",+91 73859 28948,info@flambeevents.com,https://flambeevents.com/,India,Uttar Pradesh,Kanpur,5.0,Makeup,"Heavy Makeup (Primer / Foundation / Eye Shadow / Bronzer / Lipstick / Highlighter / Setting Spray), Light Touch-Up (Concealer / Light Blush / Eyebrow Pencil / Mascara / Lip Balm / Face Powder / Eyeliner), Bridal Makeup (Contouring / Waterproof Makeup / Lip Color / Eye Shadow / Hair Styling / Setting Spray / Skin Prep)","MAC and Kryolan products, specialized in HD makeup, waterproof techniques, hair styling, nail art, mehendi services, group packages available.","9147, 3788, 3525"
Chilleta Foods Private Limited,600053,"Chilleta Foods Private Limited, no:14, Karukku Main Rd, Devanampattu, Sittu Oragadam, Ambattur, Chennai, Tamil Nadu 600053, India",+91 99400 93393,contactus@chilleta.com,https://chilleta.com/,India,Tamil Nadu,Chennai,3.7,Caterers,"Mexican (Tacos / Guacamole / Burritos / Tamales / Quesadillas / Churros / Enchiladas), Indian (Butter Chicken / Samosa / Paneer Tikka / Naan / Aloo Gobi / Biryani / Kofta), Italian (Risotto/ Lasagna/ Ravioli/ Pizza/ Tiramisu/ Pasta/ Bruschetta)","South Indian wedding feast specialists, 12 varieties of rice dishes, live dosa counter, traditional brass vessels, pure ghee sweets, minimum 150 plates.","2922, 4386, 7591"
Chilleta Foods Private Limited,600053,"Chilleta Foods Private Limited, no:14, Karukku Main Rd, Devanampattu, Sittu Oragadam, Ambattur, Chennai, Tamil Nadu 600053, India",+91 99400 93393,contactus@chilleta.com,https://chilleta.com/,India,Tamil Nadu,Chennai,3.7,Venue,"Open Area (Large Lawn / Canopy Tents / Garden Tables / Outdoor Bar / DJ Stage / Fireworks Display / String Lights), Hall (Grand Entrance / Themed Decor / High-Capacity Seating / Air Conditioning / Catering Station / Restrooms / Stage Lighting), Resort (Private Garden / Indoor Banquet / Poolside Bar / Live Music / Custom Catering / Outdoor Spa / Luxury Decor)","Contemporary venue with poolside area, garden space for 300 pax, built-in stage, dedicated kids area, ample parking space.","7269, 6712, 7778"
Swaad Bhavan Catering By SBHPL,400055,"4, Karamyogi Ind Estate, Shivaki Nagar, nr. Grand Hyatt, Santacruz East, Mumbai, Maharashtra 400055, India",+91 87792 45151,info@swaadbhavan.com,https://swaadbhavan.com/,India,Maharashtra,Mumbai,3.7,Caterers,"Thai (Tom Yum Soup / Papaya Salad / Fried Rice / Pad Thai / Green Curry / Massaman Curry / Satay), Japanese (Ramen / Sushi / Udon / Miso Soup / Sashimi / Takoyaki / Tempura), Mexican (Enchiladas / Churros / Nachos / Burritos / Guacamole / Tacos / Tamales)","Specializes in Mumbai street food counters, Konkani seafood, live pasta station, signature paan counter, corporate lunch boxes, bulk thali services.","3958, 5297, 8027"
Swaad Bhavan Catering By SBHPL,400055,"4, Karamyogi Ind Estate, Shivaki Nagar, nr. Grand Hyatt, Santacruz East, Mumbai, Maharashtra 400055, India",+91 87792 45151,info@swaadbhavan.com,https://swaadbhavan.com/,India,Maharashtra,Mumbai,4.0,Dj,"Band (Live Instrumental / Singer-Songwriter Performance / Electric Guitar Solo / Live Percussion / Band Jam Sessions / Guest Performances / Open Mic Setup), Night Show (Dance Anthems / Laser Show / EDM Tracks / Beat Drops / High Energy Music / Party Lights / Crowd Interaction), Classical (Tabla / Harmonium / Traditional Folk Band / Solo Violinist / Classical Raga Set / Harp Performance / Live Classical Dance)","Martin Audio setup, moving head lights, LED screens, fog machines, traditional & EDM mix specialists, coordination with sangeet choreographers.","9276, 1900, 9029"
